species	metabolite	log2FC	SE	time
Lapi	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	-0.1390258	0.436225592	t16
Lapi	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	1.267214247	0.581621125	t16
Lapi	"2-Aminoadipic_acid,_3TMS_derivative"	0.180993903	1.145631621	t16
Lapi	"3-Phenyllactic_acid,_2TMS_derivative"	5.914869854	0.590291808	t16
Lapi	"2-Aminooctanoic_acid,_2TMS_derivative"	0.514864075	1.370643812	t16
Lapi	"L-Glutamic_acid,_3TMS_derivative"	0.034081942	0.4930905	t16
Lapi	"L-Phenylalanine,_2TMS_derivative"	-0.175530038	0.319102163	t16
Lapi	"2-Aminoheptanedioic_acid,_3TMS_derivative"	0.180839219	1.148354539	t16
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	0.009598527	0.550092587	t16
Lapi	Unknown_15_17	-0.351905282	0.536837251	t16
Lapi	"Asparagine,_3TMS_derivative"	-0.390570253	0.97107528	t16
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	1.909679819	1.18790122	t16
Lapi	"Xylitol,_5TMS_derivative"	-0.127387794	0.555383755	t16
Lapi	"Putrescine,_4TMS_derivative"	0.110810285	0.560407412	t16
Lapi	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	-0.027823818	0.714260403	t16
Lapi	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	0.128717217	0.801352112	t16
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_1"	-0.301592489	0.523909618	t16
Lapi	"Terephthalic_acid,_2TMS_derivative"	-0.474815618	0.284392818	t16
Lapi	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	-0.282834791	0.532241794	t16
Lapi	"9H-Purin-6-ol,_2TMS_derivative"	1.641644521	0.683348818	t16
Lapi	"L-Ornithine,_4TMS_derivative"	-0.080635468	0.775733312	t16
Lapi	"Citric_acid,_4TMS_derivative"	-0.748622791	0.585308451	t16
Lapi	Unknown_19_62	-0.052813841	0.662343873	t16
Lapi	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	-11.15561869	1.533151467	t16
Lapi	"Adenine,_2TMS_derivative"	2.125962326	0.631152908	t16
Lapi	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	-10.97652895	1.078595621	t16
Lapi	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-2.321484143	0.340396196	t16
Lapi	"D-(+)-Gluconolactone,_4TMS_derivative"	-0.55451504	0.415561318	t16
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	-0.057320565	0.433075558	t16
